,Original Value,Amendment Value,Commodity Type,Country of Origin,Limited Tendering Reason,Exemption,Year,Entity,Entities Rule,Limited Tendering Rule,thresholds,Commodity Rule,Exemptions Rule,Estimated Trade Coverage,Commodity
6861,0.0,0.0,Services,CA,00,00,2019,DFO,Yes,Yes,No,No,Yes,No,Buoys - Repair
6864,39801.99,-55542.89,Services,CA,00,00,2018,CRA,Yes,Yes,No,Yes,Yes,No,Informatics Professional Services
6886,567500.0,0.0,Services,CA,00,00,2019,VAC,Yes,Yes,Yes,No,Yes,No,Budget Control Systems
6888,12430.0,0.0,Services,CA,00,00,2017,CBSA,Yes,Yes,No,Yes,Yes,No,"Printing, Duplicating and Bookbinding Equipment - Repair and Overhaul"
6902,31913.46,0.0,Services,CA,00,00,2017,CSC,Yes,Yes,No,Yes,Yes,No,"PRINTING, DUPLICATING AND BOOKBINDING EQUIPMENT, LEASING"
6912,34566.4,0.0,Construction,CA,00,00,2019,DND,Unknown,Yes,No,Unknown,Yes,No,"Roofing, Siding and Sheet Metal Installation Services"
6918,145735.65,0.0,Goods,CA,00,00,2017,DND,Yes,Yes,No,Yes,Yes,No,Computer Supplies
6919,14931.92,0.0,Services,CA,00,00,2017,CSC,Unknown,Yes,No,Unknown,Yes,No,Services of Individuals - Except Consultants
6922,24557.5,0.0,Services,CA,85,00,2017,DND,Yes,Unknown,No,Yes,Yes,No,"Human Resource Services, Business Consulting/Change Management; Project Management Services"
6941,343520.0,1935.69,Services,CA,00,00,2018,OSGG,Yes,Yes,Yes,No,Yes,No,Telephone Services / Contact Centre Services
6942,13400.0,0.0,Services,CA,00,00,2018,DND,Yes,Yes,No,Yes,Yes,No,Other Engineering Studies
6947,155583.71,39658.59,Services,CA,00,00,2017,CRA,Yes,Yes,No,Yes,Yes,No,Informatics Professional Services
6948,185976.0,-3592.04,Services,CA,00,00,2018,DND,Yes,Yes,Unknown,No,Yes,No,"Pilot Training Services, Aircraft"
6955,103734.0,30103.2,Services,CA,00,00,2018,CBSA,Yes,Yes,No,Yes,Yes,No,Informatics Professional Services
6966,39550.0,473453.17,Services,CA,00,00,2018,DFO,Yes,Yes,No,Yes,Yes,No,"Human Resource Services, Business Consulting/Change Management; Project Management Services"
6973,106785.0,63935.4,Services,CA,00,00,2017,CRA,Yes,Yes,No,Yes,Yes,No,Informatics Professional Services
7002,114800.82,-84750.12,Services,CA,00,00,2018,CNSC,Yes,Yes,Unknown,No,Yes,No,General Office Help
7005,153205.04,205638.85,Services,CA,00,00,2018,CRA,Yes,Yes,No,Yes,Yes,No,Informatics Professional Services
7018,12083.49,0.0,Construction,CA,00,00,2018,DND,Unknown,Yes,No,Unknown,Yes,No,"Building/Installation Special Trade Services, Not Elsewhere Specified"
7022,117972.0,45200.0,Services,CA,00,00,2017,CSC,Yes,Yes,No,Yes,Yes,No,"Maintenance and Repair Shop Specialized Equipment, Miscellaneous - Repair"
7036,142742.65,2218.5,Services,CA,00,00,2019,CRA,Yes,Yes,No,Yes,Yes,No,Informatics Professional Services
7050,115791.1,0.0,Goods,CA,00,00,2018,DND,Yes,Yes,No,Yes,Yes,No,"ADP Central Processing Unit (CPU, Computer) Analog"
7061,123391.59,-63673.22,Services,CA,00,00,2017,CRA,Yes,Yes,No,Yes,Yes,No,Informatics Professional Services
7064,22722.63,4584.52,Services,CA,87,00,2019,CEO,Yes,Unknown,No,Yes,Yes,No,Informatics Professional Services
7065,18373.01,18373.01,Services,CA,00,00,2017,CSC,Unknown,Yes,No,Unknown,Yes,No,Services of Individuals - Except Consultants
7069,18000.0,0.0,Construction,CA,00,00,2019,DND,Unknown,Yes,No,Unknown,Yes,No,"Building/Installation Special Trade Services, Not Elsewhere Specified"
7082,61935.3,61935.3,Services,CA,00,00,2017,CRA,Yes,Yes,No,Yes,Yes,No,Informatics Professional Services
7084,98212.64,20059.83,Goods,CA,00,00,2018,PSC,Yes,Yes,No,Yes,Yes,No,ADP Software
7088,158482.5,212722.5,Services,CA,00,00,2018,CRA,Yes,Yes,No,Yes,Yes,No,Informatics Professional Services
7092,19139.51,15820.0,Services,CA,00,00,2017,CNSC,Yes,Yes,No,No,Yes,No,Internet Communication Services
7108,577800.94,0.0,Services,CA,71,00,2018,OSFI,Yes,Unknown,Yes,No,Yes,No,Library Subscriptions
7161,13293.23,0.0,Services,CA,00,00,2017,DND,Yes,Yes,No,Yes,Yes,No,"ADP Central Processing Unit (CPU, Computer) Digital - Installation"
7165,11217.89,0.0,Services,US,85,00,2017,GAC,Yes,Unknown,No,No,Yes,No,"Expositions, Design and Fabrication Services"
7171,52500.0,86445.0,Services,CA,00,00,2018,OSFI,Yes,Yes,No,Yes,Yes,No,Informatics Professional Services
7174,998888.85,1028312.93,Services,CA,71,00,2017,CRA,Yes,Unknown,Yes,No,Yes,No,Information Products
7180,2008584.0,318885.66,Construction,CA,00,00,2018,GAC,Yes,Yes,No,Yes,Yes,No,Other Special Trade Construction Work
7192,23419.2,0.0,Services,CA,85,00,2019,DND,Unknown,Unknown,No,Unknown,Yes,No,Technical / Vocational Training
7196,247099.86,0.0,Services,CA,00,00,2018,DND,Yes,Yes,Unknown,No,Yes,No,"Pilot Training Services, Aircraft"
7202,151131.45,134182.13,Services,CA,00,00,2018,CRA,Yes,Yes,No,Yes,Yes,No,Informatics Professional Services
7206,56429.73,0.0,Services,CA,00,00,2018,DND,Yes,Yes,No,No,Yes,No,Miscellaneous Aircraft Accessories and Components (Military) - Repair and Overhaul
7220,23303.02,4907.05,Services,CA,71,00,2017,CRA,Unknown,Unknown,No,Unknown,Yes,No,Information Products
7258,140875.1,189089.04,Services,CA,00,00,2018,CRA,Yes,Yes,No,Yes,Yes,No,Informatics Professional Services
7261,149160.0,373691.0,Services,CA,00,00,2018,NSERC,Yes,Yes,No,Yes,Yes,No,Informatics Professional Services
7310,64984.82,0.0,Goods,US,00,00,2017,DND,Yes,Yes,No,Yes,Yes,No,"Fibre Rope, Cordage and Twine"
7335,11010.04,0.0,Services,CA,85,00,2018,CSC,Yes,Unknown,No,Yes,Yes,No,Consulting Services
7336,38223.13,0.0,Construction,CA,00,00,2018,DND,Unknown,Yes,No,Unknown,Yes,No,"Heating, Ventilation and Air Conditioning Maintenance & Inspection Services"
7345,2114241.3,0.0,Services,CA,00,00,2017,DND,Yes,Yes,Yes,No,Yes,No,Budget Control Systems
7350,50864.94,0.0,Services,CA,00,00,2017,DND,Yes,Yes,No,Yes,Yes,No,ADP Software Maintenance - Other than Microcomputer
7361,10717.42,98.33,Goods,CA,00,00,2018,CRA,Yes,Yes,No,Yes,Yes,No,"Automatic Data Processing Equipment, System Configuration"
7374,78309.0,327592.65,Services,CA,00,00,2018,CRA,Yes,Yes,No,Yes,Yes,No,Informatics Professional Services
7402,64833.76,64833.76,Goods,CA,71,00,2018,OSFI,Yes,Unknown,No,Yes,Yes,No,ADP Software
7433,61980.95,41320.64,Services,CA,00,00,2017,ESDC,Yes,Yes,No,Yes,Yes,No,"Human Resource Services, Business Consulting/Change Management; Project Management Services"
7439,8047.0,5120.94,Services,CA,00,00,2018,CBSA,Yes,Yes,No,Yes,Yes,No,"COPYING MACHINE, DIAZO PROCESS (WHITE PRINTER) - RENTAL"
7440,107501.62,20695.5,Services,CA,00,00,2018,CSPS,Yes,Yes,No,No,Yes,No,Computer Assisted Learning
7444,126108.0,-16543.2,Services,CA,00,00,2018,CRA,Yes,Yes,No,Yes,Yes,No,Informatics Professional Services
7449,27387.05,0.0,Services,CA,71,00,2018,CSC,Yes,Unknown,No,Yes,Yes,No,Electrical Hardware and Supplies - Repair
7470,87625.75,0.0,Goods,CA,71,00,2018,FCAC,No,Unknown,Yes,Yes,Yes,No,Office Furniture
7477,18954.62,0.0,Goods,CA,00,00,2017,DND,Unknown,Yes,No,Unknown,Yes,No,"Parachutes, Aerial Pick-Up Delivery, Recovery Systems, and Cargo Tie Down Equipment"
7487,0.0,0.0,Services,CA,00,00,2019,DFO,Yes,Yes,No,No,Yes,No,Buoys - Repair
7488,727212.19,191604.44,Services,CA,00,00,2018,FCAC,No,Yes,Yes,Yes,Yes,No,Informatics Professional Services
7496,24973.0,-22035.0,Services,CA,00,00,2017,CNSC,Yes,Yes,No,Yes,Yes,No,"Human Resource Services, Business Consulting/Change Management; Project Management Services"
7498,206308.62,-19733.87,Services,CA,00,00,2018,DFO,Yes,Yes,Unknown,No,Yes,No,Telecommunications Network Services
7509,168923.7,87399.85,Services,CA,00,00,2017,CNSC,Yes,Yes,No,Yes,Yes,No,Informatics Professional Services
7515,196125.62,43766.6,Services,CA,00,00,2017,OSGG,Yes,Yes,Unknown,No,Yes,No,Internet Communication Services
7518,290355.07,0.0,Services,UM,00,00,2018,DND,Yes,Yes,Unknown,No,Yes,No,PASSENGER MOTOR VEHICLES - RENTAL
7525,163681.4,0.0,Services,CA,00,00,2018,CSC,Yes,Yes,No,Yes,Yes,No,"PRINTING, DUPLICATING AND BOOKBINDING EQUIPMENT, LEASING"
7531,20228.66,0.0,Goods,US,00,00,2017,MGERC,No,Yes,No,Yes,Yes,No,ADP Software
7546,13902.0,0.0,Services,CA,00,00,2018,VAC,Yes,Yes,No,Yes,Yes,No,Consulting Services
7559,5911.0,10622.0,Services,CA,00,00,2019,CRA,Yes,Yes,No,Yes,Yes,No,Arbitration Services
7560,61189.5,0.0,Services,CA,00,00,2017,CBSA,Yes,Yes,No,Yes,Yes,No,Informatics Professional Services
7562,7872.2,4384.61,Services,CA,00,00,2018,CSC,Yes,Yes,No,No,Yes,No,Services of Individuals - Except Consultants
7563,15107.72,0.0,Services,CA,00,00,2017,CSC,Yes,Yes,No,No,Yes,No,Services of Individuals - Except Consultants
7577,171585.0,108035.0,Services,CA,00,00,2017,GAC,Yes,Yes,No,Yes,Yes,No,Informatics Professional Services
7580,114962.0,70681.5,Services,CA,00,00,2017,CNSC,Yes,Yes,No,No,Yes,No,Internet Communication Services
7587,117277.05,-15845.99,Services,CA,00,00,2019,CRA,Yes,Yes,No,Yes,Yes,No,Informatics Professional Services
7602,77631.0,24069.0,Services,CA,00,00,2018,DND,Yes,Yes,No,No,Yes,No,Professional Services / Financial Analysis
7605,171618.75,-69124.22,Services,CA,00,00,2018,CRA,Yes,Yes,No,Yes,Yes,No,Informatics Professional Services
7622,112674.21,56670.46,Services,CA,00,00,2019,CSC,Yes,Yes,Unknown,No,Yes,No,General Office Help
7632,29689.67,0.0,Services,CA,00,00,2017,CBSA,Yes,Yes,No,Yes,Yes,No,ADP Software Maintenance - Other than Microcomputer
7639,93341.39,0.0,Services,CA,00,00,2018,DND,Yes,Yes,Unknown,No,Yes,No,Miscellaneous Communications Services
7640,13993.92,2908.62,Services,CA,71,00,2017,CRA,Unknown,Unknown,No,Unknown,Yes,No,Information Products
7641,10309.33,0.0,Goods,CA,00,00,2018,CSC,Yes,Yes,No,Yes,Yes,No,Plumbing Fixtures and Accessories
7666,153205.04,38232.98,Services,CA,00,00,2018,CRA,Yes,Yes,No,Yes,Yes,No,Informatics Professional Services
7674,0.0,0.0,Services,CA,00,00,2017,CRA,Yes,Yes,No,Yes,Yes,No,Informatics Professional Services
7684,145928.2,334971.55,Services,CA,00,00,2018,NSERC,Yes,Yes,No,Yes,Yes,No,Informatics Professional Services
7688,106375.0,0.0,Services,CA,00,00,2018,DND,Yes,Yes,No,No,Yes,No,Grounds Maintenance
7710,88987.5,0.0,Services,CA,00,00,2017,VAC,Yes,Yes,No,No,Yes,No,Technical Writing Services
7727,53675.0,0.0,Services,CA,00,00,2018,ATSSC,Yes,Yes,No,Yes,Yes,No,Informatics Professional Services
7733,78690.38,-14793.79,Services,CA,00,00,2018,CRA,Yes,Yes,No,Yes,Yes,No,Informatics Professional Services
7752,87326.4,88885.8,Services,CA,00,00,2017,DND,Yes,Yes,No,Yes,Yes,No,"Technical Engineering and Maintenance Services (TEMS) (Excludes requirements related to armament, R&D and R&O)"
7756,83742.4,44272.45,Goods,CA,00,00,2018,DND,Yes,Yes,No,Yes,Yes,No,"Hospital Furniture, Equipment, Utensils and Supplies"
7816,147126.0,-16136.4,Services,CA,00,00,2018,CRA,Yes,Yes,No,Yes,Yes,No,Informatics Professional Services
7823,38956.75,0.0,Goods,CA,00,00,2017,DND,Yes,Yes,No,Yes,Yes,No,"Medical and Surgical Instruments, Equipment and Supplies"
7848,22638.58,0.0,Services,CA,00,00,2018,CSC,Unknown,Yes,No,Unknown,Yes,No,"Fans, Air Circulators and Blower Equipment - Repair"
7862,260804.0,0.0,Services,CA,00,00,2018,DND,Yes,Yes,Unknown,No,Yes,No,Budget Control Systems
7867,10217.29,0.0,Goods,CA,20,00,2018,NFB,No,Unknown,No,Yes,Yes,No,"Hardware, Commercial"
7891,20340.0,19345.6,Goods,CA,71,00,2018,CSC,Yes,Unknown,No,Yes,Yes,No,Miscellaneous Engines and Components
7902,40196.5,0.0,Goods,CA,00,00,2018,CSC,Yes,Yes,No,Yes,Yes,No,Passenger Motor Vehicles
7929,102971.25,-76719.94,Services,CA,00,00,2017,CRA,Yes,Yes,No,Yes,Yes,No,Informatics Professional Services
7948,162218.28,-108208.8,Services,CA,00,00,2017,CBSA,Yes,Yes,No,Yes,Yes,No,Informatics Professional Services
7951,24142.91,0.0,Services,CA,00,00,2017,CSC,Yes,Yes,No,No,Yes,No,Services of Individuals - Except Consultants
7968,19347.99,0.0,Services,CA,00,00,2018,CSC,Unknown,Yes,No,Unknown,Yes,No,Refrigeration and Air Conditioning Components - Repair
7969,23316.93,0.0,Goods,CA,00,00,2018,CSC,Yes,Yes,No,Yes,Yes,No,"Cabinets, Lockers, Bins and Shelving"
7997,157900.0,0.0,Construction,CA,00,00,2018,DND,Yes,Yes,No,Yes,Yes,No,Construction of Commercial Buildings
8005,406000.0,0.0,Construction,CA,00,00,2018,DND,Yes,Yes,No,Yes,Yes,No,Construction of Commercial Buildings
8053,20382.0,21500.0,Services,CA,00,00,2018,CSC,Yes,Yes,No,No,Yes,No,Language Training Services
8075,113000.0,93564.0,Services,CA,00,00,2018,ATSSC,Yes,Yes,No,No,Yes,No,Translation Services
8091,57327.5,57327.5,Services,CA,00,00,2018,DND,Yes,Yes,No,No,Yes,No,Snow Plowing and Removal
8096,24904.5,0.0,Goods,CA,86,00,2018,CEO,Yes,Unknown,No,Yes,Yes,No,"Automatic Data Processing Equipment, System Configuration"
8115,25788.0,0.0,Services,CA,87,00,2019,CSC,Unknown,Unknown,No,Yes,Yes,No,Commercial Security Guard and Related Services
8120,20162.03,0.0,Goods,CA,00,00,2018,CBSA,Yes,Yes,No,Yes,Yes,No,Bolts
8126,53242.77,0.0,Goods,CA,00,00,2017,DND,Yes,Yes,No,Yes,Yes,No,"Valves, Powered"
8135,31931.55,0.0,Goods,CA,00,00,2018,CSC,Yes,Yes,No,Yes,Yes,No,Passenger Motor Vehicles
8140,30916.8,0.0,Services,CA,00,00,2017,HC,Yes,Yes,No,Yes,Yes,No,"Furniture, Office-Refinishing and Repair"
8172,13233.2,0.0,Goods,CA,00,00,2018,CSC,Yes,Yes,No,Yes,Yes,No,Plywood and Veneer
8193,129353.42,173624.1,Services,CA,00,00,2018,CRA,Yes,Yes,No,No,Yes,No,Budget Control Systems
8207,223460.59,0.0,Services,CA,00,00,2017,FJA,Yes,Yes,Unknown,No,Yes,No,"Publishing, Co-Publishing and Support Services - Paper and Electronic Format"
8209,5720.01,75928.09,Services,CA,00,00,2018,ESDC,Yes,Yes,No,Yes,Yes,No,Informatics Professional Services
8218,571730.43,246471.82,Construction,CA,00,00,2017,DFO,Yes,Yes,No,Yes,Yes,No,Structural Steel Work
8220,998888.85,49330.69,Services,CA,71,00,2018,CRA,Yes,Unknown,Yes,No,Yes,No,Information Products
8225,100000.0,0.0,Services,CA,85,00,2017,PSIC,No,Unknown,Unknown,No,Yes,No,Legal Services/Litigation/Lawyers
8235,123396.0,74749.5,Services,CA,00,00,2017,CRA,Yes,Yes,No,Yes,Yes,No,Informatics Professional Services
8239,27834.57,0.0,Services,CA,71,00,2017,PSC,Unknown,Unknown,No,Unknown,Yes,No,Information Products
8242,0.0,0.0,Goods,CA,00,00,2018,CRA,Yes,Yes,No,Yes,Yes,No,Stationery and Record Forms
8290,158482.5,212722.5,Services,CA,00,00,2018,CRA,Yes,Yes,No,Yes,Yes,No,Informatics Professional Services
8326,28801.24,0.0,Construction,CA,00,00,2018,CSC,Unknown,Yes,No,Unknown,Yes,No,Carpentry Services
8328,15000.0,0.0,Services,CA,00,00,2017,DND,Yes,Yes,No,Yes,Yes,No,Other Engineering Studies
8335,29800.0,0.0,Construction,CA,00,00,2018,DND,Yes,Yes,No,Yes,Yes,No,Construction of Commercial Buildings
8341,178031.5,178031.5,Services,US,00,00,2018,DND,Yes,Yes,No,Yes,Yes,No,Informatics Professional Services
8359,452000.0,0.0,Services,CA,00,00,2018,CSC,Yes,Yes,Yes,No,Yes,No,"Transportation Services, Not Elsewhere Specified"
8367,131040.0,112566.87,Services,CA,00,00,2018,CSC,Yes,Yes,No,No,Yes,No,Office Furniture - Installation
8379,145905.6,24317.6,Services,CA,00,00,2018,DND,Yes,Yes,No,No,Yes,No,"Pilot Training Services, Aircraft"
8391,58206.09,-30802.36,Services,CA,00,00,2018,ESDC,Yes,Yes,No,Yes,Yes,No,Informatics Professional Services
8392,62884.5,0.0,Goods,CA,71,00,2018,ATSSC,Yes,Unknown,No,Yes,Yes,No,ADP Software
8393,72320.0,103960.0,Services,CA,00,00,2018,ATSSC,Yes,Yes,No,Yes,Yes,No,Informatics Professional Services
8397,180800.0,361600.0,Goods,CA,00,00,2018,DFO,Yes,Yes,Unknown,No,Yes,No,Logistics Support for U.S. Manufactured Military Equipment Currently Operated by Canadian Armed Forces (COLOG)
8398,21712.95,994.4,Goods,CA,00,00,2019,CRA,Yes,Yes,No,Yes,Yes,No,ADP Software
8399,0.0,42008.4,Services,CA,00,00,2018,CTA,Yes,Yes,No,Yes,Yes,No,"Human Resources Support Services (HRSS): Organization and Classification, Staffing and Compensation"
8410,55596.0,112688.81,Goods,CA,00,00,2018,CBSA,Yes,Yes,No,Yes,Yes,No,ADP Software
8411,12375.87,0.0,Goods,CA,00,00,2018,CGC,No,Yes,No,Yes,Yes,No,ADP Input-Output and Storage Devices
8456,16898.0,0.0,Services,CA,00,00,2019,CBSA,Yes,Yes,No,Yes,Yes,No,Informatics Professional Services
8495,13921.0,177.27,Services,CA,00,00,2019,CRA,Yes,Yes,No,No,Yes,No,Harassment (Investigative Services)
8497,11201.0,0.0,Goods,CA,00,00,2018,DND,Yes,Yes,No,Yes,Yes,No,Office Furniture
8501,193158.0,0.0,Services,CA,85,00,2018,CEO,Yes,Unknown,Unknown,No,Yes,No,Budget Control Systems
8503,24932.86,0.0,Goods,CA,00,00,2018,VAC,Yes,Yes,No,Yes,Yes,No,ADP Software
8506,51424.04,150125.02,Services,CA,00,00,2019,ATSSC,Yes,Yes,No,Yes,Yes,No,Informatics Professional Services
8512,141250.0,0.0,Services,CA,00,00,2017,DND,Yes,Yes,No,Yes,Yes,No,"Human Resource Services, Business Consulting/Change Management; Project Management Services"
8513,14155.72,0.0,Services,CA,00,00,2017,CSC,Unknown,Yes,No,Unknown,Yes,No,Services of Individuals - Except Consultants
8522,219240.0,73060.0,Services,CA,00,00,2018,DND,Yes,Yes,Unknown,No,Yes,No,"Pilot Training Services, Aircraft"
8525,172991.7,6644.4,Services,CA,00,00,2018,CRA,Yes,Yes,No,Yes,Yes,No,Informatics Professional Services
8537,171195.0,-114864.5,Services,CA,00,00,2018,CRA,Yes,Yes,No,Yes,Yes,No,Informatics Professional Services
8543,20351.3,0.0,Services,CA,00,00,2018,CSC,Yes,Yes,No,No,Yes,No,Social Rehabilitation Services for Prisoners
8575,158482.5,212722.5,Services,CA,00,00,2018,CRA,Yes,Yes,No,Yes,Yes,No,Informatics Professional Services
8576,14354.62,-2751.69,Services,CA,00,00,2018,OSGG,Yes,Yes,No,Yes,Yes,No,"Hotels, Motels and Commercial Accommodation"
8589,62405.7,64352.6,Services,CA,71,00,2017,PHAC,Yes,Unknown,No,Yes,Yes,No,"Medical and Surgical Instruments, Equipment and Supplies - Repair"
8614,11865.0,0.0,Services,CA,00,00,2018,CSC,Yes,Yes,No,Yes,Yes,No,Threat and Risk Assessment Services
8633,172008.6,-20359.21,Services,CA,00,00,2018,CRA,Yes,Yes,No,Yes,Yes,No,Informatics Professional Services
8643,114454.88,0.0,Services,CA,00,00,2017,CSC,Yes,Yes,No,Yes,Yes,No,Machine Tools - Miscellaneous - Repair
8644,815371.84,0.0,Services,CA,00,00,2017,DFO,Yes,Yes,Yes,No,Yes,No,Wind Energy Systems (R&D)
8645,28250.0,0.0,Services,CA,00,00,2017,CBSA,Yes,Yes,No,Yes,Yes,No,Informatics Professional Services
8650,63411.71,0.0,Services,CA,00,00,2017,StatCan,Yes,Yes,No,No,Yes,No,MISCELLANEOUS COMMUNICATIONS EQUIPMENT - RENTAL
8659,52433.64,226911.1,Services,CA,00,00,2018,CRA,Yes,Yes,No,Yes,Yes,No,Informatics Professional Services
8664,21247.38,0.0,Services,CA,00,00,2019,CSC,Yes,Yes,No,Yes,Yes,No,Refrigeration and Air Conditioning Components - Repair
8666,3670.5,8168.0,Services,HT,00,00,2017,GAC,Yes,Yes,No,No,Yes,No,Services of Individuals - Except Consultants
8673,4493.79,8000.4,Services,CA,00,00,2017,CBSA,Yes,Yes,No,Yes,Yes,No,"PRINTING, DUPLICATING AND BOOKBINDING EQUIPMENT, LEASING"
8674,10726.88,0.0,Construction,CA,00,00,2018,DND,Yes,Yes,No,Yes,Yes,No,Construction of Commercial Buildings
8679,125680.86,0.0,Services,CA,00,00,2017,OSFI,Yes,Yes,No,Yes,Yes,No,Consulting Services
8681,221000.0,0.0,Services,CA,00,00,2017,DND,Yes,Yes,Yes,No,Yes,No,"Product/Material - Design, Development, Formulation, Modification: Science and Technology Related (R&D)"
8683,13374.5,0.0,Services,CA,00,00,2018,CSC,Yes,Yes,No,No,Yes,No,"WAREHOUSE TRUCKS AND TRACTORS, SELF-PROPELLED - RENTAL"
8695,29129.04,0.0,Services,CA,00,00,2018,CBSA,Yes,Yes,No,Yes,Yes,No,"Human Resource Services, Business Consulting/Change Management; Project Management Services"
8696,11153.8,0.0,Goods,CA,00,00,2018,CSC,Yes,Yes,No,Yes,Yes,No,Bakery and Cereal Products (replaced by gsin N8920Z)
8705,128184.38,50850.0,Services,CA,00,00,2019,CBSA,Yes,Yes,No,Yes,Yes,No,Informatics Professional Services
8719,1343090.0,0.0,Construction,CA,00,00,2018,DND,Yes,Yes,No,Yes,Yes,No,General Heavy Construction
8734,159330.0,-12317.0,Services,CA,00,00,2019,CRA,Yes,Yes,No,Yes,Yes,No,Informatics Professional Services
8753,35511.39,0.0,Services,CA,00,00,2018,DND,Yes,Yes,No,No,Yes,No,"Vehicular Brake, Steering, Axle, Wheel and Track Components - Repair and Overhaul"
8758,228335.15,155668.8,Services,CA,71,00,2018,CSC,Yes,Unknown,Unknown,No,Yes,No,Steam Turbines and Components - Repair and Overhaul
8761,76378.96,46095.18,Services,CA,00,00,2018,GAC,Yes,Yes,No,Yes,Yes,No,ADP Software Maintenance - Other than Microcomputer
8766,29820.0,22050.0,Services,CA,00,00,2017,CBSA,Unknown,Yes,No,Yes,Yes,No,Storage and Warehousing
8770,79100.0,0.0,Services,CA,00,00,2018,CSC,Yes,Yes,No,Yes,Yes,No,"Alarm and Signal Systems, Miscellaneous - Repair, Overhaul and Maintenance"
8780,151767.01,121413.6,Services,CA,00,00,2017,ESDC,Yes,Yes,No,Yes,Yes,No,Informatics Professional Services
8781,93564.0,-28653.97,Services,CA,00,00,2018,CRA,Yes,Yes,No,Yes,Yes,No,Informatics Professional Services
8795,88722.01,0.0,Goods,US,71,00,2018,DND,Yes,Unknown,No,Yes,Yes,No,"Antennas, Waveguides and Related Equipment"
8797,213971.25,0.0,Construction,CA,00,00,2018,DND,Yes,Yes,No,Yes,Yes,No,Pipeline Construction
8806,18080.45,0.0,Services,CA,87,00,2019,CSC,Unknown,Unknown,No,Yes,Yes,No,Commercial Security Guard and Related Services
8812,34860.0,0.0,Construction,CA,00,00,2018,DND,Yes,Yes,No,Yes,Yes,No,Construction of Commercial Buildings
8824,26990.84,0.0,Services,CA,00,00,2017,CSC,Unknown,Yes,No,Unknown,Yes,No,Services of Individuals - Except Consultants
8830,261708.0,0.0,Services,CA,71,00,2017,CSC,Yes,Unknown,Unknown,No,Yes,No,"Manuals, Standard Operating Procedures for Building Controls and Systems"
8833,30000.0,0.0,Services,CA,00,00,2017,DND,Yes,Yes,No,Yes,Yes,No,Other Engineering Studies
8837,14644.8,0.0,Services,CA,00,00,2017,DND,Yes,Yes,No,No,Yes,No,Business Training
8857,21470.0,0.0,Services,CA,00,00,2018,ATSSC,Yes,Yes,No,Yes,Yes,No,Informatics Professional Services
8866,15723.72,0.0,Services,CU,85,00,2017,GAC,Yes,Unknown,No,No,Yes,No,Commercial Security Guard and Related Services
8903,11156.96,0.0,Goods,CA,00,00,2018,CSC,Yes,Yes,No,Yes,Yes,No,"Meat, Poultry and Fish (replaced by gsin N8905Z)"
8906,16800.0,5775.0,Services,CA,00,00,2019,CBSA,Yes,Yes,No,Yes,Yes,No,Informatics Professional Services
8908,22600.0,0.0,Services,CA,00,00,2017,CBSA,Yes,Yes,No,Yes,Yes,No,Informatics Professional Services
8934,24012.5,0.0,Services,CA,85,00,2018,StatCan,Yes,Unknown,No,Yes,Yes,No,Training Aids - Repair
8935,118980.53,55638.38,Services,CA,00,00,2017,CRA,Yes,Yes,No,Yes,Yes,No,Informatics Professional Services
8939,106315.37,164198.18,Services,CA,00,00,2018,OIC,Yes,Yes,Unknown,No,Yes,No,General Office Help
8940,20159.51,0.0,Services,CA,00,00,2018,CSC,Yes,Yes,No,No,Yes,No,Services of Individuals - Except Consultants
8960,142380.0,228825.0,Services,CA,00,00,2018,CRA,Yes,Yes,No,Yes,Yes,No,Informatics Professional Services
8961,119780.0,110966.0,Services,CA,00,00,2018,DND,Yes,Yes,No,No,Yes,No,Technical / Vocational Training
8989,33942.38,-29759.97,Services,CA,00,00,2017,CRA,Yes,Yes,No,Yes,Yes,No,Informatics Professional Services
8996,61860.0,0.0,Services,CA,00,00,2018,DND,Unknown,Yes,No,Yes,Yes,No,"Product/Material - Design, Development, Formulation, Modification: Science and Technology Related (R&D)"
9011,277029.96,0.0,Services,CA,00,00,2018,DND,Yes,Yes,Unknown,No,Yes,No,"Pilot Training Services, Aircraft"
9040,264870.63,0.0,Services,CA,00,00,2018,ATSSC,Yes,Yes,Unknown,No,Yes,No,"COPYING MACHINE, DIAZO PROCESS (WHITE PRINTER) - RENTAL"
9070,137896.16,0.0,Services,CA,00,00,2017,DND,Yes,Yes,No,Yes,Yes,No,Consulting Services
9072,218881.0,232210.85,Services,CA,00,00,2018,CSC,Yes,Yes,Unknown,No,Yes,No,End-to-End Learning Services (Excludes COTS Training)
9078,10399.62,0.0,Services,CA,00,00,2019,CSC,Yes,Yes,No,Yes,Yes,No,"PRINTING, DUPLICATING AND BOOKBINDING EQUIPMENT, LEASING"
9084,132871.05,71545.95,Services,CA,00,00,2017,CRA,Yes,Yes,No,Yes,Yes,No,Informatics Professional Services
9114,51256.8,0.0,Services,CA,00,00,2018,CBSA,Yes,Yes,No,Yes,Yes,No,Informatics Professional Services
9137,17793.09,0.0,Services,CA,00,00,2017,CSC,Yes,Yes,No,Yes,Yes,No,"PRINTING, DUPLICATING AND BOOKBINDING EQUIPMENT, LEASING"
9138,49979.9,7480.6,Services,CA,00,00,2019,CBSA,Unknown,Yes,No,Unknown,Yes,No,Business Services
