,procurement_id,original_value,agreement_type_code,commodity_type_code,commodity_code,limited_tendering_reason_code,document_type_code,reporting_period,owner_org_title,abbreviation,Federal Entity,Abbreviation,NAFTA,CCFTA,CCoFTA,CHFTA,CPaFTA,CPFTA,CKFTA,CUFTA,WTO-AGP,CETA,CPTPP
32424,3000646511,162400.0,CCFTA,Services,H300,00,Amendment,2018,Canadian Food Inspection Agency | Agence canadienne d'inspection des aliments,CFIA,Canadian Food Inspection Agency ,CFIA,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes
32432,3000552875,439514.96,CCFTA,Services,K108,00,Amendment,2019,Canadian Food Inspection Agency | Agence canadienne d'inspection des aliments,CFIA,Canadian Food Inspection Agency ,CFIA,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes
32440,20160529B,75581.18,CCFTA,Goods,6640,00,Amendment,2019,Canadian Food Inspection Agency | Agence canadienne d'inspection des aliments,CFIA,Canadian Food Inspection Agency ,CFIA,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes
32450,20170138A,384200.0,CCFTA,Services,B002,90,Amendment,2019,Canadian Food Inspection Agency | Agence canadienne d'inspection des aliments,CFIA,Canadian Food Inspection Agency ,CFIA,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes
32461,3000647325,126000.0,CCFTA,Services,K108,00,Amendment,2019,Canadian Food Inspection Agency | Agence canadienne d'inspection des aliments,CFIA,Canadian Food Inspection Agency ,CFIA,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes
32470,3000652448,422220.43,CCFTA,Services,D302,00,Amendment,2019,Canadian Food Inspection Agency | Agence canadienne d'inspection des aliments,CFIA,Canadian Food Inspection Agency ,CFIA,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes
32484,3000653861,148706.55,CCFTA,Services,D302,00,Amendment,2019,Canadian Food Inspection Agency | Agence canadienne d'inspection des aliments,CFIA,Canadian Food Inspection Agency ,CFIA,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes
32493,3000659117,478296.0,CCFTA,Services,F029,90,Amendment,2019,Canadian Food Inspection Agency | Agence canadienne d'inspection des aliments,CFIA,Canadian Food Inspection Agency ,CFIA,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes
32503,3000665386,1186161.0,CCFTA,Services,D302,00,Amendment,2019,Canadian Food Inspection Agency | Agence canadienne d'inspection des aliments,CFIA,Canadian Food Inspection Agency ,CFIA,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes
32515,3000666441,84000.0,CCFTA,Services,B002,00,Amendment,2019,Canadian Food Inspection Agency | Agence canadienne d'inspection des aliments,CFIA,Canadian Food Inspection Agency ,CFIA,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes
32525,3000666445,84000.0,CCFTA,Services,B002,00,Amendment,2019,Canadian Food Inspection Agency | Agence canadienne d'inspection des aliments,CFIA,Canadian Food Inspection Agency ,CFIA,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes
32535,3000671650,662256.0,CCFTA,Services,B002,86,Amendment,2019,Canadian Food Inspection Agency | Agence canadienne d'inspection des aliments,CFIA,Canadian Food Inspection Agency ,CFIA,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes
32544,3000674957,50850.0,CCFTA,Services,D302,00,Amendment,2019,Canadian Food Inspection Agency | Agence canadienne d'inspection des aliments,CFIA,Canadian Food Inspection Agency ,CFIA,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes
32555,3000685748,48629.41,CCFTA,Services,D302,00,Amendment,2019,Canadian Food Inspection Agency | Agence canadienne d'inspection des aliments,CFIA,Canadian Food Inspection Agency ,CFIA,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes
32564,3000686346,45256.5,CCFTA,Services,D302,00,Amendment,2019,Canadian Food Inspection Agency | Agence canadienne d'inspection des aliments,CFIA,Canadian Food Inspection Agency ,CFIA,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes
32576,3000683394,203400.0,CCFTA,Services,H300,00,Contract,2019,Canadian Food Inspection Agency | Agence canadienne d'inspection des aliments,CFIA,Canadian Food Inspection Agency ,CFIA,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes
32585,3000683428,395500.0,CCFTA,Services,H300,00,Contract,2019,Canadian Food Inspection Agency | Agence canadienne d'inspection des aliments,CFIA,Canadian Food Inspection Agency ,CFIA,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes
32594,3000683449,395500.0,CCFTA,Services,H300,00,Contract,2019,Canadian Food Inspection Agency | Agence canadienne d'inspection des aliments,CFIA,Canadian Food Inspection Agency ,CFIA,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes
32603,3000683429,147126.0,CCFTA,Services,H300,00,Contract,2019,Canadian Food Inspection Agency | Agence canadienne d'inspection des aliments,CFIA,Canadian Food Inspection Agency ,CFIA,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes
32612,3000683430,395500.0,CCFTA,Services,H300,00,Contract,2019,Canadian Food Inspection Agency | Agence canadienne d'inspection des aliments,CFIA,Canadian Food Inspection Agency ,CFIA,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes
32621,3000683398,115260.0,CCFTA,Services,H300,00,Contract,2019,Canadian Food Inspection Agency | Agence canadienne d'inspection des aliments,CFIA,Canadian Food Inspection Agency ,CFIA,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes
32630,3000683444,339000.0,CCFTA,Services,H300,00,Contract,2019,Canadian Food Inspection Agency | Agence canadienne d'inspection des aliments,CFIA,Canadian Food Inspection Agency ,CFIA,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes
32639,3000683379,261030.0,CCFTA,Services,H300,00,Contract,2019,Canadian Food Inspection Agency | Agence canadienne d'inspection des aliments,CFIA,Canadian Food Inspection Agency ,CFIA,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes
32648,3000683442,17797.5,CCFTA,Services,H300,00,Contract,2019,Canadian Food Inspection Agency | Agence canadienne d'inspection des aliments,CFIA,Canadian Food Inspection Agency ,CFIA,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes
32659,3000687304,31265.97,CCFTA,Services,H300,00,Contract,2019,Canadian Food Inspection Agency | Agence canadienne d'inspection des aliments,CFIA,Canadian Food Inspection Agency ,CFIA,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes
32668,3000687310,319341.6,CCFTA,Services,H300,00,Contract,2019,Canadian Food Inspection Agency | Agence canadienne d'inspection des aliments,CFIA,Canadian Food Inspection Agency ,CFIA,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes
32677,3000687430,26596.36,CCFTA,Services,H300,00,Contract,2019,Canadian Food Inspection Agency | Agence canadienne d'inspection des aliments,CFIA,Canadian Food Inspection Agency ,CFIA,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes
32686,3000687435,38798.55,CCFTA,Services,H300,00,Contract,2019,Canadian Food Inspection Agency | Agence canadienne d'inspection des aliments,CFIA,Canadian Food Inspection Agency ,CFIA,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes
32695,3000687436,179323.85,CCFTA,Services,H300,00,Contract,2019,Canadian Food Inspection Agency | Agence canadienne d'inspection des aliments,CFIA,Canadian Food Inspection Agency ,CFIA,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes
32704,3000687428,31820.8,CCFTA,Services,H300,00,Contract,2019,Canadian Food Inspection Agency | Agence canadienne d'inspection des aliments,CFIA,Canadian Food Inspection Agency ,CFIA,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes
32713,3000687440,153115.0,CCFTA,Services,H300,00,Contract,2019,Canadian Food Inspection Agency | Agence canadienne d'inspection des aliments,CFIA,Canadian Food Inspection Agency ,CFIA,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes
32722,3000687517,25312.0,CCFTA,Services,H300,00,Contract,2019,Canadian Food Inspection Agency | Agence canadienne d'inspection des aliments,CFIA,Canadian Food Inspection Agency ,CFIA,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes
32744,3000687593,27979.72,CCFTA,Services,H300,00,Contract,2019,Canadian Food Inspection Agency | Agence canadienne d'inspection des aliments,CFIA,Canadian Food Inspection Agency ,CFIA,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes
32767,20200046A,146900.0,CCFTA,Services,D317,00,Contract,2019,Canadian Food Inspection Agency | Agence canadienne d'inspection des aliments,CFIA,Canadian Food Inspection Agency ,CFIA,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes
32778,3000683382,261030.0,CCFTA,Services,H300,00,Contract,2019,Canadian Food Inspection Agency | Agence canadienne d'inspection des aliments,CFIA,Canadian Food Inspection Agency ,CFIA,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes
32787,3000683446,339000.0,CCFTA,Services,H300,00,Contract,2019,Canadian Food Inspection Agency | Agence canadienne d'inspection des aliments,CFIA,Canadian Food Inspection Agency ,CFIA,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes
32802,20190222A,118164.91,CCFTA,Goods,6640,00,Contract,2018,Canadian Food Inspection Agency | Agence canadienne d'inspection des aliments,CFIA,Canadian Food Inspection Agency ,CFIA,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes
32814,3000674340,46898.96,CCFTA,Services,H300,00,Contract,2018,Canadian Food Inspection Agency | Agence canadienne d'inspection des aliments,CFIA,Canadian Food Inspection Agency ,CFIA,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes
32823,S33297,392451.12,CCFTA,Goods,7021,00,Contract,2018,Canadian Food Inspection Agency | Agence canadienne d'inspection des aliments,CFIA,Canadian Food Inspection Agency ,CFIA,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes
32838,20160477A,37290.0,CCFTA,Goods,6830,00,Amendment,2018,Canadian Food Inspection Agency | Agence canadienne d'inspection des aliments,CFIA,Canadian Food Inspection Agency ,CFIA,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes
32848,20140189A,481965.0,CCFTA,Services,K100,00,Amendment,2018,Canadian Food Inspection Agency | Agence canadienne d'inspection des aliments,CFIA,Canadian Food Inspection Agency ,CFIA,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes
32856,20160529B,75581.18,CCFTA,Goods,6640,00,Amendment,2018,Canadian Food Inspection Agency | Agence canadienne d'inspection des aliments,CFIA,Canadian Food Inspection Agency ,CFIA,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes
32867,20190090A,524578.54,CCFTA,Goods,6640,05,Contract,2018,Canadian Food Inspection Agency | Agence canadienne d'inspection des aliments,CFIA,Canadian Food Inspection Agency ,CFIA,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes
32880,20190476A,40847.0,CCFTA,Goods,6640,00,Contract,2018,Canadian Food Inspection Agency | Agence canadienne d'inspection des aliments,CFIA,Canadian Food Inspection Agency ,CFIA,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes
32904,20191055A,1584328.1,CCFTA,Services,JX70,71,Contract,2018,Canadian Food Inspection Agency | Agence canadienne d'inspection des aliments,CFIA,Canadian Food Inspection Agency ,CFIA,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes
32913,20190939A,248513.28,CCFTA,Services,JX70,71,Contract,2018,Canadian Food Inspection Agency | Agence canadienne d'inspection des aliments,CFIA,Canadian Food Inspection Agency ,CFIA,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes
32922,20191079A,255443.28,CCFTA,Goods,7030,71,Contract,2018,Canadian Food Inspection Agency | Agence canadienne d'inspection des aliments,CFIA,Canadian Food Inspection Agency ,CFIA,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes
32935,3000547227,685581.39,CCFTA,Services,G009,00,Amendment,2018,Canadian Food Inspection Agency | Agence canadienne d'inspection des aliments,CFIA,Canadian Food Inspection Agency ,CFIA,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes
32948,3000613854,813583.73,CCFTA,Services,D302,00,Amendment,2018,Canadian Food Inspection Agency | Agence canadienne d'inspection des aliments,CFIA,Canadian Food Inspection Agency ,CFIA,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes
32957,3000621205,33662.7,CCFTA,Services,R019,87,Amendment,2018,Canadian Food Inspection Agency | Agence canadienne d'inspection des aliments,CFIA,Canadian Food Inspection Agency ,CFIA,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes
32966,3000621513,66034.38,CCFTA,Services,D302,00,Amendment,2018,Canadian Food Inspection Agency | Agence canadienne d'inspection des aliments,CFIA,Canadian Food Inspection Agency ,CFIA,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes
32979,3000647325,126000.0,CCFTA,Services,K108,00,Amendment,2018,Canadian Food Inspection Agency | Agence canadienne d'inspection des aliments,CFIA,Canadian Food Inspection Agency ,CFIA,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes
32988,3000651760,188710.0,CCFTA,Services,D302,00,Amendment,2018,Canadian Food Inspection Agency | Agence canadienne d'inspection des aliments,CFIA,Canadian Food Inspection Agency ,CFIA,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes
32998,3000653861,148706.55,CCFTA,Services,D302,00,Amendment,2018,Canadian Food Inspection Agency | Agence canadienne d'inspection des aliments,CFIA,Canadian Food Inspection Agency ,CFIA,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes
33008,3000663648,655400.0,CCFTA,Services,D302,00,Amendment,2018,Canadian Food Inspection Agency | Agence canadienne d'inspection des aliments,CFIA,Canadian Food Inspection Agency ,CFIA,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes
33017,3000656038,214700.0,CCFTA,Services,R109,00,Amendment,2018,Canadian Food Inspection Agency | Agence canadienne d'inspection des aliments,CFIA,Canadian Food Inspection Agency ,CFIA,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes
33026,3000659195,323016.15,CCFTA,Services,D302,00,Amendment,2018,Canadian Food Inspection Agency | Agence canadienne d'inspection des aliments,CFIA,Canadian Food Inspection Agency ,CFIA,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes
33035,3000665970,395500.0,CCFTA,Services,H300,00,Amendment,2018,Canadian Food Inspection Agency | Agence canadienne d'inspection des aliments,CFIA,Canadian Food Inspection Agency ,CFIA,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes
33047,3000666451,506240.0,CCFTA,Services,B002,00,Amendment,2018,Canadian Food Inspection Agency | Agence canadienne d'inspection des aliments,CFIA,Canadian Food Inspection Agency ,CFIA,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes
33056,3000665954,282500.0,CCFTA,Services,H300,00,Amendment,2018,Canadian Food Inspection Agency | Agence canadienne d'inspection des aliments,CFIA,Canadian Food Inspection Agency ,CFIA,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes
33065,3000666198,176460.8,CCFTA,Services,H300,00,Amendment,2018,Canadian Food Inspection Agency | Agence canadienne d'inspection des aliments,CFIA,Canadian Food Inspection Agency ,CFIA,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes
33082,3000674957,50850.0,CCFTA,Services,D302,00,Amendment,2018,Canadian Food Inspection Agency | Agence canadienne d'inspection des aliments,CFIA,Canadian Food Inspection Agency ,CFIA,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes
33091,3000677631,116051.0,CCFTA,Services,H300,00,Contract,2018,Canadian Food Inspection Agency | Agence canadienne d'inspection des aliments,CFIA,Canadian Food Inspection Agency ,CFIA,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes
33100,3000677636,198880.0,CCFTA,Services,H300,00,Contract,2018,Canadian Food Inspection Agency | Agence canadienne d'inspection des aliments,CFIA,Canadian Food Inspection Agency ,CFIA,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes
33109,3000677630,275720.0,CCFTA,Services,H300,00,Contract,2018,Canadian Food Inspection Agency | Agence canadienne d'inspection des aliments,CFIA,Canadian Food Inspection Agency ,CFIA,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes
33118,3000677635,198880.0,CCFTA,Services,H300,00,Contract,2018,Canadian Food Inspection Agency | Agence canadienne d'inspection des aliments,CFIA,Canadian Food Inspection Agency ,CFIA,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes
33127,3000677635,198880.0,CCFTA,Services,H300,00,Amendment,2018,Canadian Food Inspection Agency | Agence canadienne d'inspection des aliments,CFIA,Canadian Food Inspection Agency ,CFIA,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes
33136,3000677627,275720.0,CCFTA,Services,H300,00,Contract,2018,Canadian Food Inspection Agency | Agence canadienne d'inspection des aliments,CFIA,Canadian Food Inspection Agency ,CFIA,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes
33145,3000677628,275720.0,CCFTA,Services,H300,00,Contract,2018,Canadian Food Inspection Agency | Agence canadienne d'inspection des aliments,CFIA,Canadian Food Inspection Agency ,CFIA,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes
33154,3000677628,275720.0,CCFTA,Services,H300,00,Amendment,2018,Canadian Food Inspection Agency | Agence canadienne d'inspection des aliments,CFIA,Canadian Food Inspection Agency ,CFIA,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes
33164,3000677632,198880.0,CCFTA,Services,H300,00,Contract,2018,Canadian Food Inspection Agency | Agence canadienne d'inspection des aliments,CFIA,Canadian Food Inspection Agency ,CFIA,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes
33173,3000677638,281370.0,CCFTA,Services,H300,00,Contract,2018,Canadian Food Inspection Agency | Agence canadienne d'inspection des aliments,CFIA,Canadian Food Inspection Agency ,CFIA,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes
33182,3000677638,281370.0,CCFTA,Services,H300,00,Amendment,2018,Canadian Food Inspection Agency | Agence canadienne d'inspection des aliments,CFIA,Canadian Food Inspection Agency ,CFIA,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes
33209,3000680202,220097.61,CCFTA,Services,H300,00,Contract,2018,Canadian Food Inspection Agency | Agence canadienne d'inspection des aliments,CFIA,Canadian Food Inspection Agency ,CFIA,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes
33226,3000680335,140639.8,CCFTA,Services,B203,00,Contract,2018,Canadian Food Inspection Agency | Agence canadienne d'inspection des aliments,CFIA,Canadian Food Inspection Agency ,CFIA,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes
33236,3000680800,207637.5,CCFTA,Services,D302,00,Contract,2018,Canadian Food Inspection Agency | Agence canadienne d'inspection des aliments,CFIA,Canadian Food Inspection Agency ,CFIA,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes
33259,3000682414,47384.75,CCFTA,Services,D302,00,Contract,2018,Canadian Food Inspection Agency | Agence canadienne d'inspection des aliments,CFIA,Canadian Food Inspection Agency ,CFIA,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes
33268,3000682374,24408.0,CCFTA,Services,T004,00,Contract,2018,Canadian Food Inspection Agency | Agence canadienne d'inspection des aliments,CFIA,Canadian Food Inspection Agency ,CFIA,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes
33326,3000685748,48629.41,CCFTA,Services,D302,00,Contract,2018,Canadian Food Inspection Agency | Agence canadienne d'inspection des aliments,CFIA,Canadian Food Inspection Agency ,CFIA,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes
33338,3000686346,45256.51,CCFTA,Services,D302,00,Contract,2018,Canadian Food Inspection Agency | Agence canadienne d'inspection des aliments,CFIA,Canadian Food Inspection Agency ,CFIA,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes
33369,S23074,1216982.88,CCFTA,Goods,7020,00,Amendment,2018,Canadian Food Inspection Agency | Agence canadienne d'inspection des aliments,CFIA,Canadian Food Inspection Agency ,CFIA,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes
33392,3000683448,339000.0,CCFTA,Services,H300,00,Contract,2019,Canadian Food Inspection Agency | Agence canadienne d'inspection des aliments,CFIA,Canadian Food Inspection Agency ,CFIA,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes
33401,3000683391,261030.0,CCFTA,Services,H300,00,Contract,2019,Canadian Food Inspection Agency | Agence canadienne d'inspection des aliments,CFIA,Canadian Food Inspection Agency ,CFIA,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes
33410,3000683440,395500.0,CCFTA,Services,H300,00,Contract,2019,Canadian Food Inspection Agency | Agence canadienne d'inspection des aliments,CFIA,Canadian Food Inspection Agency ,CFIA,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes
33452,3000666208,395500.0,CCFTA,Services,H300,00,Contract,2018,Canadian Food Inspection Agency | Agence canadienne d'inspection des aliments,CFIA,Canadian Food Inspection Agency ,CFIA,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes
33461,3000482675,161700.0,CCFTA,Goods,3510,00,Amendment,2017,Canadian Food Inspection Agency | Agence canadienne d'inspection des aliments,CFIA,Canadian Food Inspection Agency ,CFIA,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes
33470,3000484029,455503.0,CCFTA,Services,K108,00,Amendment,2017,Canadian Food Inspection Agency | Agence canadienne d'inspection des aliments,CFIA,Canadian Food Inspection Agency ,CFIA,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes
33479,20130646A,196573.66,CCFTA,Services,JX70,00,Amendment,2017,Canadian Food Inspection Agency | Agence canadienne d'inspection des aliments,CFIA,Canadian Food Inspection Agency ,CFIA,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes
33488,20130125A,2768370.05,CCFTA,Services,H300,00,Amendment,2017,Canadian Food Inspection Agency | Agence canadienne d'inspection des aliments,CFIA,Canadian Food Inspection Agency ,CFIA,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes
33497,3000536146,452000.0,CCFTA,Services,R199,00,Amendment,2017,Canadian Food Inspection Agency | Agence canadienne d'inspection des aliments,CFIA,Canadian Food Inspection Agency ,CFIA,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes
33506,3000552875,439514.96,CCFTA,Services,K108,00,Amendment,2017,Canadian Food Inspection Agency | Agence canadienne d'inspection des aliments,CFIA,Canadian Food Inspection Agency ,CFIA,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes
33515,3000554642,257029.8,CCFTA,Services,D302,00,Amendment,2017,Canadian Food Inspection Agency | Agence canadienne d'inspection des aliments,CFIA,Canadian Food Inspection Agency ,CFIA,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes
33524,20140517G,245864.67,CCFTA,Services,H300,00,Amendment,2017,Canadian Food Inspection Agency | Agence canadienne d'inspection des aliments,CFIA,Canadian Food Inspection Agency ,CFIA,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes
33533,20140517H,259945.21,CCFTA,Services,H300,00,Amendment,2017,Canadian Food Inspection Agency | Agence canadienne d'inspection des aliments,CFIA,Canadian Food Inspection Agency ,CFIA,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes
33542,20140517E,756399.4,CCFTA,Services,H300,00,Amendment,2017,Canadian Food Inspection Agency | Agence canadienne d'inspection des aliments,CFIA,Canadian Food Inspection Agency ,CFIA,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes
33551,3000572037,133905.0,CCFTA,Services,D302,00,Amendment,2017,Canadian Food Inspection Agency | Agence canadienne d'inspection des aliments,CFIA,Canadian Food Inspection Agency ,CFIA,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes
33563,3000666210,395500.0,CCFTA,Services,H300,00,Contract,2018,Canadian Food Inspection Agency | Agence canadienne d'inspection des aliments,CFIA,Canadian Food Inspection Agency ,CFIA,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes
33575,3000584786,63732.0,CCFTA,Services,D302,00,Amendment,2017,Canadian Food Inspection Agency | Agence canadienne d'inspection des aliments,CFIA,Canadian Food Inspection Agency ,CFIA,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes
33584,20150585A,450294.0,CCFTA,Services,C215,00,Amendment,2017,Canadian Food Inspection Agency | Agence canadienne d'inspection des aliments,CFIA,Canadian Food Inspection Agency ,CFIA,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes
33595,3000596345,115401.25,CCFTA,Services,D302,00,Amendment,2017,Canadian Food Inspection Agency | Agence canadienne d'inspection des aliments,CFIA,Canadian Food Inspection Agency ,CFIA,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes
33604,3000595455,149721.05,CCFTA,Services,D302,00,Amendment,2017,Canadian Food Inspection Agency | Agence canadienne d'inspection des aliments,CFIA,Canadian Food Inspection Agency ,CFIA,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes
33613,3000603636,14995.1,CCFTA,Services,D302,00,Amendment,2017,Canadian Food Inspection Agency | Agence canadienne d'inspection des aliments,CFIA,Canadian Food Inspection Agency ,CFIA,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes
