,Original Value,Trade Agreement Code,Commodity Type,Country of Origin,Limited Tendering Reason,Exemption,Year,Entity,Entities Rule,Limited Tendering Rule,Thresholds Rule,Commodity Rule,Exemptions Rule,Commodity
11231,67325.4,WTO-AGP,Services,CA,0,0,2017,CSC,Yes,Yes,No,Yes,Yes,"PRINTING, DUPLICATING AND BOOKBINDING EQUIPMENT, LEASING"
11232,172432.0,WTO-AGP,Goods,CA,0,0,2018,DND,Yes,Yes,No,Yes,Yes,Drugs and Biologicals
11246,20481.25,CFTA,Services,CA,0,0,2018,CRA,Unknown,Yes,No,Yes,Yes,Advertising
11253,21247.38,NAFTA,Services,CA,0,0,2018,CSC,Yes,Yes,No,Yes,Yes,Refrigeration and Air Conditioning Components - Repair
11275,103297.88,NAFTA,Services,CA,0,0,2018,DND,Yes,Yes,Unknown,No,Yes,"Vehicular Brake, Steering, Axle, Wheel and Track Components - Repair and Overhaul"
11291,13906.2,NAFTA,Goods,US,0,1,2018,DND,Yes,Yes,No,Yes,Unknown,Ship and Marine Miscellaneous Equipment
11295,158482.5,CETA,Services,CA,0,0,2018,CRA,Yes,Yes,No,Yes,Yes,Informatics Professional Services
11301,16272.0,WTO-AGP,Services,CA,0,0,2018,CNSC,Yes,Yes,No,No,Yes,Harassment (Investigative Services)
11306,18012.75,NAFTA,Goods,CA,0,0,2019,DND,Yes,Yes,No,Yes,Yes,"Fuses, Arresters, Absorbers, and Protectors"
11329,30000.0,NAFTA,Services,CA,0,0,2018,DND,Yes,Yes,No,Yes,Yes,Other Engineering Studies
11338,15687.19,NAFTA,Goods,CA,0,0,2017,DND,Yes,Yes,No,Yes,Yes,"Truck, Forklift"
11342,125091.0,WTO-AGP,Services,CA,0,0,2017,CBSA,Yes,Yes,No,Yes,Yes,Informatics Professional Services
11365,130601.83,CETA,Goods,CA,0,0,2017,DND,Yes,Yes,No,Yes,Yes,Specialized Shipping and Storage Containers
11367,15322.8,NAFTA,Construction,CA,0,0,2018,DND,Yes,Yes,No,Yes,Yes,"Heating, Ventilation and Air Conditioning Maintenance & Inspection Services"
11370,22579.64,WTO-AGP,Goods,CA,0,0,2018,CSC,Yes,Yes,No,Yes,Yes,Fire Fighting Equipment
11376,26219.55,WTO-AGP,Goods,CA,0,0,2018,CSC,Yes,Yes,No,Yes,Yes,Passenger Motor Vehicles
11381,10440.84,WTO-AGP,Services,CA,0,0,2017,CBSA,Yes,Yes,No,Yes,Yes,"COPYING MACHINE, DIAZO PROCESS (WHITE PRINTER) - RENTAL"
11388,12548.61,WTO-AGP,Services,CA,0,0,2018,CSC,Yes,Yes,No,Yes,Yes,"PRINTING, DUPLICATING AND BOOKBINDING EQUIPMENT, LEASING"
11406,53675.0,CETA,Services,CA,0,0,2018,ATSSC,Yes,Yes,No,Yes,Yes,Informatics Professional Services
11412,12079.56,CETA,Goods,CA,71,0,2018,CSC,Yes,Unknown,No,Yes,Yes,"Truck and Truck Tractor Wheeled, Gasoline Powered, Over 10,000 GVWR (Except Military Configuration)"
11428,233401.51,CETA,Services,CA,0,0,2018,OSGG,Yes,Yes,Unknown,No,Yes,General Office Help
11446,79712.76,WTO-AGP,Goods,CA,0,0,2017,DND,Yes,Yes,No,Yes,Yes,"Vehicular Brake, Steering, Axle, Wheel and Track Components"
11454,31931.55,WTO-AGP,Goods,CA,0,0,2018,CSC,Yes,Yes,No,Yes,Yes,Passenger Motor Vehicles
11489,21127.79,WTO-AGP,Goods,CA,0,3,2019,CRA,Yes,Yes,No,Yes,Unknown,Video Recording and Reproduction Equipment
11554,19775.0,CFTA,Construction,CA,0,0,2018,DND,Unknown,Yes,No,Unknown,Yes,"Heating, Ventilation and Air Conditioning Maintenance & Inspection Services"
11555,18601.38,WTO-AGP,Services,CA,0,0,2018,CSC,Yes,Yes,No,Yes,Yes,"PRINTING, DUPLICATING AND BOOKBINDING EQUIPMENT, LEASING"
11590,20925.46,NAFTA,Goods,CA,0,0,2018,DND,Yes,Yes,No,Yes,Yes,"Valves, Nonpowered"
11609,35030.12,CFTA,Services,GB,71,0,2019,DND,Unknown,Unknown,No,Unknown,Yes,"Optical Instruments, Test Equipment, Components and Accessories - Repair and Overhaul"
11621,114409.96,WTO-AGP,Services,CA,0,0,2017,DND,Yes,Yes,No,Yes,Yes,"Human Resource Services, Business Consulting/Change Management; Project Management Services"
11652,137606.88,WTO-AGP,Services,CA,0,0,2018,DND,Yes,Yes,No,Yes,Yes,"Technical Engineering and Maintenance Services (TEMS) (Excludes requirements related to armament, R&D and R&O)"
11657,76327.55,NAFTA,Services,CA,0,0,2017,PCO,Yes,Yes,No,No,Yes,General Office Help
11671,97462.5,CETA,Services,CA,0,0,2018,CRA,Yes,Yes,No,Yes,Yes,Informatics Professional Services
11677,16695.73,NAFTA,Services,US,0,0,2018,DND,Yes,Yes,No,Yes,Yes,Switches - Repair
11693,27549.4,WTO-AGP,Services,CA,85,0,2018,CEO,Yes,Unknown,No,No,Yes,Publications
11703,65121.9,CFTA,Services,CA,0,0,2018,VAC,Unknown,Yes,No,Yes,Yes,Media Relations
11726,33961.43,NAFTA,Services,CH,0,0,2017,GAC,Yes,Yes,No,Yes,Yes,Organization Development
11732,22059.33,NAFTA,Goods,CA,0,0,2018,DND,Yes,Yes,No,Yes,Yes,"Power Transmission Equipment, Miscellaneous"
11733,46462.5,CFTA,Construction,CA,0,0,2018,CSC,Unknown,Yes,No,Unknown,Yes,Electrical Installations and Major Repairs
11739,89233.91,WTO-AGP,Services,CA,0,0,2017,HC,Yes,Yes,No,Yes,Yes,"Furniture, Office-Refinishing and Repair"
11802,18841.62,WTO-AGP,Services,CA,85,0,2017,CBSA,Yes,Unknown,No,Yes,Yes,Informatics Professional Services
11818,10500.0,WTO-AGP,Services,CA,0,0,2017,CSC,Yes,Yes,No,Yes,Yes,"PRINTING, DUPLICATING AND BOOKBINDING EQUIPMENT, LEASING"
11895,16849.22,CFTA,Services,CA,87,0,2019,CSC,Unknown,Unknown,No,Yes,Yes,Commercial Security Guard and Related Services
11898,51672.08,WTO-AGP,Services,CA,0,0,2017,CRA,Yes,Yes,No,Yes,Yes,Informatics Professional Services
11914,106159.71,CETA,Goods,CA,0,0,2018,DND,Yes,Yes,No,Yes,Yes,Millwork
11924,13993.92,CFTA,Services,CA,71,0,2017,CRA,Unknown,Unknown,No,Unknown,Yes,Information Products
11942,72124.56,WTO-AGP,Services,CA,0,0,2019,DND,Yes,Yes,No,Yes,Yes,Informatics Professional Services
11950,40643.66,WTO-AGP,Goods,CA,0,0,2019,CSC,Yes,Yes,No,Yes,Yes,Passenger Motor Vehicles
11951,78806.2,WTO-AGP,Goods,CA,0,0,2018,CAS,Yes,Yes,No,Yes,Yes,Pulp and Paper Industries Machinery
11974,71277.21,CETA,Services,CA,0,0,2018,CRA,Yes,Yes,No,Yes,Yes,Informatics Professional Services
11985,92312.28,WTO-AGP,Services,CA,0,0,2018,DND,Yes,Yes,No,Yes,Yes,Physical Properties Testing and Inspection Equipment - Repair and Overhaul
11992,24456.03,NAFTA,Goods,CA,85,0,2017,GAC,Yes,Unknown,No,Yes,Yes,Office Furniture
11993,125091.0,WTO-AGP,Services,CA,0,0,2017,CBSA,Yes,Yes,No,Yes,Yes,Informatics Professional Services
11999,78690.38,WTO-AGP,Services,CA,0,0,2017,CRA,Yes,Yes,No,Yes,Yes,Informatics Professional Services
12014,585683.86,WTO-AGP,Services,CA,0,0,2018,DND,Yes,Yes,Yes,No,Yes,"Security Printing, Paper Documents (including bonds)"
12040,34827.94,CFTA,Services,US,74,0,2018,DND,Unknown,Unknown,No,Unknown,Yes,Laboratory Equipment and Supplies - Repair
12061,41633.19,WTO-AGP,Services,TH,0,0,2018,GAC,Yes,Yes,No,Yes,Yes,Relocation Services
12064,18378.03,CETA,Goods,CA,0,0,2018,CRA,Yes,Yes,No,Yes,Yes,Telephone and Telegraph Equipment
12066,15636.6,CFTA,Goods,CA,0,0,2017,DND,Unknown,Yes,No,Unknown,Yes,Marine Hardware and Hull Items
12074,336256.93,WTO-AGP,Services,CA,0,0,2017,CBSA,Yes,Yes,Yes,No,Yes,Signage Design and Installation
12101,18665.34,NAFTA,Construction,CA,71,0,2018,DND,Yes,Unknown,No,Yes,Yes,Construction of Health Buildings
12116,18933.86,NAFTA,Goods,CA,0,0,2017,DND,Yes,Yes,No,Yes,Yes,Hose and Flexible Tubing
12144,158482.5,CETA,Services,CA,0,0,2018,CRA,Yes,Yes,No,Yes,Yes,Informatics Professional Services
12170,15763.5,NAFTA,Services,CA,0,0,2018,CNSC,Yes,Yes,No,Yes,Yes,Business Training
12173,95477.07,CETA,Services,CA,0,0,2018,CRA,Yes,Yes,No,Yes,Yes,Informatics Professional Services
12192,130515.0,WTO-AGP,Services,CA,0,0,2017,CNSC,Yes,Yes,No,Yes,Yes,Informatics Professional Services
12220,48397.58,WTO-AGP,Goods,CA,0,0,2019,CSC,Yes,Yes,No,Yes,Yes,Passenger Motor Vehicles
12221,19238.12,WTO-AGP,Services,CA,0,0,2017,CBSA,Yes,Yes,No,Yes,Yes,Hazardous Chemicals Removal
12224,21639.0,NAFTA,Goods,CA,0,0,2017,DND,Yes,Yes,No,Yes,Yes,Electrical Hardware and Supplies
12229,11298.36,WTO-AGP,Services,CA,0,0,2017,CSC,Yes,Yes,No,Yes,Yes,"PRINTING, DUPLICATING AND BOOKBINDING EQUIPMENT, LEASING"
12244,21386.5,WTO-AGP,Services,CA,0,0,2018,CSC,Yes,Yes,No,Yes,Yes,"PRINTING, DUPLICATING AND BOOKBINDING EQUIPMENT, LEASING"
12250,13746.84,CFTA,Goods,CA,0,0,2018,DND,Unknown,Yes,No,Unknown,Yes,"Gas Turbines and Jet Engines, Aircraft, Prime Moving and Components"
12252,11127.9,CETA,Services,CA,0,0,2018,DND,Yes,Yes,No,No,Yes,Freight and Cargo Services
12253,61495.5,WTO-AGP,Goods,CA,71,0,2017,PCO,Yes,Unknown,No,Yes,Yes,ADP Software
12295,566510.57,WTO-AGP,Construction,CA,0,0,2018,CSC,Yes,Yes,No,Yes,Yes,Other Installation Work
12360,229999.25,CETA,Services,CA,0,0,2019,DND,Yes,Yes,Unknown,No,Yes,"Product/Material - Design, Development, Formulation, Modification: Science and Technology Related (R&D)"
12389,48746.18,NAFTA,Services,CA,0,0,2018,DND,Yes,Yes,No,Yes,Yes,"Electrical and Electronic Properties, Measuring and Testing Instruments - Repair and Overhaul"
12407,84524.0,CETA,Services,CA,0,0,2018,ATSSC,Yes,Yes,No,Yes,Yes,Informatics Professional Services
12449,14669.66,WTO-AGP,Goods,CA,85,0,2017,PMPRB,Yes,Unknown,No,Yes,Yes,ADP Software
12453,73045.48,WTO-AGP,Services,CA,0,0,2018,CRA,Yes,Yes,No,Yes,Yes,Informatics Professional Services
12470,12204.16,NAFTA,Goods,CA,0,0,2017,DND,Yes,Yes,No,Yes,Yes,Hose and Flexible Tubing
12482,137356.79,CETA,Services,CA,0,0,2018,CRA,Yes,Yes,No,Yes,Yes,Informatics Professional Services
12517,22390.23,WTO-AGP,Goods,CA,0,0,2019,CSC,Yes,Yes,No,Yes,Yes,Passenger Motor Vehicles
12547,126787.5,WTO-AGP,Services,CA,0,0,2017,DND,Yes,Yes,No,Yes,Yes,Business Services
12563,93225.0,WTO-AGP,Services,CA,87,0,2019,CEO,Yes,Unknown,No,Yes,Yes,ADP Software Maintenance - Other than Microcomputer
12580,20925.45,NAFTA,Services,CA,0,0,2018,CSC,Yes,Yes,No,Yes,Yes,Refrigeration and Air Conditioning Components - Repair
12595,14970.0,NAFTA,Services,CA,0,0,2017,DND,Yes,Yes,No,Yes,Yes,Other Engineering Studies
12609,72371.93,WTO-AGP,Goods,CA,0,0,2018,CRA,Yes,Yes,No,Yes,Yes,Communications Security Equipment and Components
12639,83217.29,WTO-AGP,Goods,CA,0,0,2018,CSC,Yes,Yes,No,Yes,Yes,Electrical Hardware and Supplies
12680,11865.0,CFTA,Construction,CA,0,0,2018,DND,Unknown,Yes,No,Unknown,Yes,"Heating, Ventilation and Air Conditioning Maintenance & Inspection Services"
12687,10711.53,WTO-AGP,Services,CA,0,0,2018,CSC,Yes,Yes,No,No,Yes,Services of Individuals - Except Consultants
12704,11500.0,CFTA,Services,CA,0,0,2017,CBSA,Unknown,Yes,No,Yes,Yes,Storage and Warehousing
12713,60003.0,WTO-AGP,Services,CA,0,0,2017,CRA,Yes,Yes,No,Yes,Yes,Informatics Professional Services
12731,19052.43,WTO-AGP,Goods,CA,0,0,2019,CSC,Yes,Yes,No,Yes,Yes,Plumbing Fixtures and Accessories
12738,10879.64,WTO-AGP,Goods,CA,0,0,2018,MGERC,No,Yes,No,Yes,Yes,Office Furniture
12751,16072.04,CETA,Goods,CA,0,0,2018,CSC,Yes,Yes,No,Yes,Yes,"Armor, Personal"
12781,22638.76,WTO-AGP,Goods,CA,0,0,2018,CRA,Yes,Yes,No,Yes,Yes,"Automatic Data Processing Equipment, System Configuration"
12783,39743.0,CFTA,Construction,CA,0,0,2018,DND,Unknown,Yes,No,Unknown,Yes,Roofing and Waterproofing
12794,102869.39,WTO-AGP,Services,CA,0,0,2017,OSGG,Yes,Yes,No,Yes,Yes,"Hotels, Motels and Commercial Accommodation"
12796,29487.21,WTO-AGP,Services,CA,0,0,2018,CSC,Yes,Yes,No,No,Yes,Services of Individuals - Except Consultants
12806,77970.0,NAFTA,Services,CA,0,0,2018,CNSC,Yes,Yes,No,Yes,Yes,"Human Resource Services, Business Consulting/Change Management; Project Management Services"
12819,139371.37,WTO-AGP,Services,CA,0,0,2017,CBSA,Yes,Yes,No,Yes,Yes,Data Entry Services
12834,51490.04,WTO-AGP,Goods,CA,0,0,2018,CBSA,Yes,Yes,No,Yes,Yes,"Automatic Data Processing Equipment, System Configuration"
12839,12631.49,WTO-AGP,Goods,CA,0,0,2018,CSC,Yes,Yes,No,Yes,Yes,Bakery and Cereal Products (replaced by gsin N8920Z)
12910,11566.41,WTO-AGP,Goods,US,0,0,2018,CRCC,Yes,Yes,No,Yes,Yes,ADP Software
12954,23040.36,CFTA,Construction,CA,0,0,2018,DND,Unknown,Yes,No,Unknown,Yes,"Heating, Ventilation and Air Conditioning Maintenance & Inspection Services"
12967,33600.0,WTO-AGP,Goods,CA,0,0,2018,CSC,Yes,Yes,No,Yes,Yes,Passenger Motor Vehicles
12973,18762221.0,NAFTA,Services,CA,0,0,2018,DND,Yes,Yes,Yes,No,Yes,Electricity Services
13002,11526.0,WTO-AGP,Services,CA,0,0,2018,CSC,Yes,Yes,No,Yes,Yes,"PRINTING, DUPLICATING AND BOOKBINDING EQUIPMENT, LEASING"
13029,20327.12,WTO-AGP,Goods,CA,71,0,2017,CRA,Yes,Unknown,No,Yes,Yes,ADP Software
13074,22994.77,WTO-AGP,Services,CA,0,0,2018,CSC,Yes,Yes,No,Yes,Yes,"PRINTING, DUPLICATING AND BOOKBINDING EQUIPMENT, LEASING"
13081,53973.11,WTO-AGP,Services,CA,0,0,2019,CSC,Yes,Yes,No,Yes,Yes,"PRINTING, DUPLICATING AND BOOKBINDING EQUIPMENT, LEASING"
13101,166023.9,WTO-AGP,Services,CA,0,0,2017,DND,Yes,Yes,No,Yes,Yes,Organization Development
13119,58428.23,WTO-AGP,Goods,CA,0,0,2017,CNSC,Yes,Yes,No,Yes,Yes,Passenger Motor Vehicles
13135,39018.48,WTO-AGP,Goods,CA,0,0,2018,CSC,Yes,Yes,No,Yes,Yes,"Hardware, Commercial"
13142,158482.5,CETA,Services,CA,0,0,2018,CRA,Yes,Yes,No,Yes,Yes,Informatics Professional Services
13144,23874.38,NAFTA,Services,CA,0,0,2018,CBSA,Yes,Yes,No,Yes,Yes,Harassment (Investigative Services)
13165,42658.56,CFTA,Construction,CA,0,0,2018,CSC,Unknown,Yes,No,Unknown,Yes,Other Floor Laying and Wall Papering Work
13168,28628.78,NAFTA,Services,CA,0,0,2017,CSC,Yes,Yes,No,No,Yes,Services of Individuals - Except Consultants
13169,126822.0,WTO-AGP,Services,CA,0,0,2018,DND,Yes,Yes,No,No,Yes,"Pilot Training Services, Aircraft"
13181,12342.46,NAFTA,Goods,CA,0,0,2019,DND,Yes,Yes,No,Yes,Yes,Electric Vehicular Lights and Fixtures
13183,153260.39,WTO-AGP,Services,CA,71,0,2017,DND,Yes,Unknown,No,Yes,Yes,ADP Input-Output and Storage Devices - Maintenance
13198,12575.39,CFTA,Services,CA,0,0,2017,CSC,Unknown,Yes,No,Unknown,Yes,Services of Individuals - Except Consultants
13200,16310.35,NAFTA,Goods,CA,0,0,2017,DND,Yes,Yes,No,Yes,Yes,"Vehicular Brake, Steering, Axle, Wheel and Track Components"
13204,81990.54,WTO-AGP,Goods,CA,0,0,2018,CSC,Yes,Yes,No,Yes,Yes,Passenger Motor Vehicles
13205,4598640.0,WTO-AGP,Services,CA,0,0,2017,GAC,Yes,Yes,Yes,No,Yes,Property Management - Office Space/Administrative Buildings
13208,98648.55,WTO-AGP,Services,CA,0,0,2018,CSC,Yes,Yes,No,Yes,Yes,"PRINTING, DUPLICATING AND BOOKBINDING EQUIPMENT, LEASING"
13238,17647.33,NAFTA,Goods,CA,0,0,2018,DND,Yes,Yes,No,Yes,Yes,"Hardware, Commercial"
13239,33900.0,WTO-AGP,Services,CA,0,0,2017,CBSA,Yes,Yes,No,Yes,Yes,Informatics Professional Services
13240,12873.8,WTO-AGP,Services,CA,85,0,2018,CSC,Yes,Unknown,No,Yes,Yes,Consulting Services
13242,28799.5,WTO-AGP,Goods,JP,0,0,2018,GAC,Yes,Yes,No,Yes,Yes,Passenger Motor Vehicles
13245,255627.41,WTO-AGP,Services,CA,0,0,2017,PPSC,No,Yes,Unknown,Yes,Yes,Consulting Services
13274,10315.47,CETA,Goods,CA,0,0,2018,CSC,Yes,Yes,No,Yes,Yes,"Armor, Personal"
13287,12087.68,CFTA,Goods,CA,0,0,2017,DND,Unknown,Yes,No,Unknown,Yes,"Centrifugals, Separators, and Pressure and Vacuum Filters"
13298,10096.53,WTO-AGP,Goods,CA,0,0,2018,CSC,Yes,Yes,No,Yes,Yes,Bakery and Cereal Products (replaced by gsin N8920Z)
13302,99871.82,CETA,Goods,CA,71,0,2017,CSC,Yes,Unknown,No,Yes,Yes,ADP Software
13316,83671.48,WTO-AGP,Services,CA,0,0,2017,CBSA,Yes,Yes,No,No,Yes,Library Subscriptions
13338,128820.0,NAFTA,Services,CA,0,0,2017,FJA,Yes,Yes,Unknown,No,Yes,Language Translation and Interpretation
13347,12310.07,WTO-AGP,Goods,CA,0,0,2018,CSC,Yes,Yes,No,Yes,Yes,Bakery and Cereal Products (replaced by gsin N8920Z)
13385,37090.94,WTO-AGP,Services,CA,71,0,2018,CSC,Yes,Unknown,No,Yes,Yes,Electrical Hardware and Supplies - Repair
13396,311344.29,WTO-AGP,Services,CA,0,0,2017,PPSC,No,Yes,Yes,Yes,Yes,Consulting Services
13412,19321.4,WTO-AGP,Services,CA,0,0,2018,CRA,Yes,Yes,No,No,Yes,Harassment (Investigative Services)
13414,111371.68,WTO-AGP,Goods,CA,0,0,2017,CBSA,Yes,Yes,No,Yes,Yes,"Automatic Data Processing Equipment, System Configuration"
13427,14785.67,CETA,Goods,CA,0,0,2018,VAC,Yes,Yes,No,Yes,Yes,"Headsets, Handsets, Microphones and Speakers"
13431,56500.0,WTO-AGP,Services,CA,0,0,2019,CSC,Yes,Yes,No,No,Yes,Office Furniture - Installation
13447,282300.42,WTO-AGP,Services,CA,0,0,2018,StatCan,Yes,Yes,Unknown,No,Yes,Database/Variable Imaging
13456,93034.99,WTO-AGP,Goods,CA,0,0,2018,DND,Yes,Yes,No,Yes,Yes,Hose and Flexible Tubing
13474,29920.14,CFTA,Services,CA,71,0,2017,CRA,Unknown,Unknown,No,Unknown,Yes,Information Products
13490,12732.34,NAFTA,Goods,CA,85,0,2018,GAC,Yes,Unknown,No,Yes,Yes,Office Furniture
13496,13069.4,CFTA,Goods,CA,0,0,2018,DND,Unknown,Yes,No,Unknown,Yes,Chemicals
13500,45732.72,CETA,Services,CA,0,0,2018,CRA,Yes,Yes,No,Yes,Yes,Informatics Professional Services
13517,18537.42,CFTA,Services,CA,0,0,2018,CSC,Unknown,Yes,No,Unknown,Yes,Services of Individuals - Except Consultants
13518,17793.09,WTO-AGP,Services,CA,0,0,2017,CSC,Yes,Yes,No,Yes,Yes,"PRINTING, DUPLICATING AND BOOKBINDING EQUIPMENT, LEASING"
13590,11681.92,NAFTA,Services,CA,0,0,2017,DND,Yes,Yes,No,No,Yes,"Tires and Tubes, Pneumatic, except Aircraft - Repair"
13602,68003.0,CETA,Services,CA,0,0,2019,DND,Yes,Yes,No,No,Yes,Property and Facilities Management - Buildings
13613,49478.26,CFTA,Services,CA,0,0,2018,VAC,Unknown,Yes,No,Yes,Yes,Public Opinion Research - Quantitative & Qualitative
13616,97953.97,CETA,Services,CA,0,0,2018,CRA,Yes,Yes,No,Yes,Yes,Informatics Professional Services
13646,158482.5,CETA,Services,CA,0,0,2018,CRA,Yes,Yes,No,Yes,Yes,Informatics Professional Services
13668,118504.74,WTO-AGP,Services,CA,71,0,2017,DND,Yes,Unknown,No,Yes,Yes,"Electrical and Electronic Properties, Measuring and Testing Instruments - Repair and Overhaul"
13676,98310.0,WTO-AGP,Goods,CA,0,0,2018,CRA,Yes,Yes,No,Yes,Yes,ADP Input-Output and Storage Devices
13685,49720.0,CETA,Services,CA,0,0,2019,DND,Yes,Yes,No,Yes,Yes,Informatics Professional Services
13690,65540.0,NAFTA,Services,CA,0,0,2018,DND,Yes,Yes,No,Yes,Yes,Technical / Vocational Training
13713,23446.5,NAFTA,Goods,CA,0,0,2018,DND,Yes,Yes,No,Yes,Yes,Studs
13722,11831.67,WTO-AGP,Services,CA,71,0,2018,CBSA,Yes,Unknown,No,Yes,Yes,ADP Software Maintenance - Other than Microcomputer
13732,90400.0,WTO-AGP,Services,CA,71,0,2017,CBSA,Yes,Unknown,No,Yes,Yes,Laboratory Equipment and Supplies - Repair
13743,12375.87,WTO-AGP,Goods,CA,0,0,2018,CGC,No,Yes,No,Yes,Yes,ADP Input-Output and Storage Devices
13785,14426.71,CFTA,Construction,CA,0,0,2019,CSC,Unknown,Yes,No,Unknown,Yes,Plumbing Contractor Services
13795,175150.0,WTO-AGP,Goods,CA,0,0,2018,DND,Yes,Yes,No,Yes,Yes,"Medical and Surgical Instruments, Equipment and Supplies"
13799,77122.5,WTO-AGP,Services,CA,0,0,2017,CBSA,Yes,Yes,No,Yes,Yes,Informatics Professional Services
13855,27854.5,CETA,Services,CA,0,0,2019,CRA,Yes,Yes,No,Yes,Yes,Informatics Professional Services
13859,11229.65,CETA,Goods,CA,0,0,2018,CRA,Yes,Yes,No,Yes,Yes,ADP Input-Output and Storage Devices
13873,33900.0,WTO-AGP,Services,CA,0,0,2017,CBSA,Yes,Yes,No,Yes,Yes,Informatics Professional Services
13887,23000.05,NAFTA,Services,CA,0,0,2018,DFO,Yes,Yes,No,No,Yes,Scientific Data Collection - Field (R&D)
13905,21069.44,WTO-AGP,Services,CA,0,0,2018,VAC,Yes,Yes,No,No,Yes,Language Training Services
13916,153905.0,WTO-AGP,Goods,GB,0,0,2017,DND,Yes,Yes,No,Yes,Yes,Miscellaneous Communications Equipment
13919,12935.38,WTO-AGP,Services,CA,0,0,2018,CSC,Yes,Yes,No,Yes,Yes,"PRINTING, DUPLICATING AND BOOKBINDING EQUIPMENT, LEASING"
13927,217502.4,WTO-AGP,Services,CA,0,0,2018,DND,Yes,Yes,Unknown,No,Yes,Professional Services / Program Research Analysis
13931,34372.57,WTO-AGP,Goods,CA,0,0,2017,PS,Yes,Yes,No,Yes,Yes,Passenger Motor Vehicles
13935,21969.73,NAFTA,Goods,CA,0,0,2017,DND,Yes,Yes,No,Yes,Yes,"Pressure, Temperature and Humidity Measuring and Controlling Instruments"
13945,207476.61,NAFTA,Services,US,0,0,2017,DND,Yes,Yes,Yes,No,Yes,PASSENGER MOTOR VEHICLES - RENTAL
13957,23779.13,NAFTA,Goods,CA,0,0,2018,DND,Yes,Yes,No,Yes,Yes,"Pipe, Tube and Rigid Tubing"
14026,55194.0,NAFTA,Services,CA,0,0,2019,DND,Yes,Yes,No,Yes,Yes,Safety Training Courses
14051,29307.04,WTO-AGP,Goods,CA,0,0,2017,CSC,Yes,Yes,No,Yes,Yes,"Automatic Data Processing Equipment, System Configuration"
14053,48931.53,WTO-AGP,Services,CA,0,0,2017,CSC,Yes,Yes,No,Yes,Yes,"PRINTING, DUPLICATING AND BOOKBINDING EQUIPMENT, LEASING"
14065,40447.4,CETA,Services,CA,0,0,2018,CBSA,Yes,Yes,No,Yes,Yes,ADP Software Maintenance - Other than Microcomputer
14098,19212.02,WTO-AGP,Goods,CA,0,0,2017,CRA,Yes,Yes,No,Yes,Yes,Office Furniture
14104,164355.38,WTO-AGP,Services,CA,0,0,2018,DND,Yes,Yes,No,Yes,Yes,Consulting Services
14109,31485.21,WTO-AGP,Services,CA,0,0,2018,CSC,Yes,Yes,No,No,Yes,Services of Individuals - Except Consultants
14116,31117.54,WTO-AGP,Services,CA,0,0,2017,StatCan,Yes,Yes,No,No,Yes,MISCELLANEOUS COMMUNICATIONS EQUIPMENT - RENTAL
14146,229827.5,CETA,Services,CA,0,0,2019,DND,Yes,Yes,Unknown,No,Yes,"Product/Material - Design, Development, Formulation, Modification: Science and Technology Related (R&D)"
14151,983100.0,WTO-AGP,Services,CA,0,0,2018,StatCan,Yes,Yes,Yes,No,Yes,Database/Variable Imaging
14152,14371.88,NAFTA,Services,CA,0,0,2017,GAC,Yes,Yes,No,Yes,Yes,Informatics Professional Services
14159,70060.0,CFTA,Services,CA,0,0,2017,DND,Unknown,Yes,No,Yes,Yes,Insurance Services
14173,19261.0,WTO-AGP,Goods,CA,0,0,2018,CSC,Yes,Yes,No,Yes,Yes,Bakery and Cereal Products (replaced by gsin N8920Z)
14184,23641.58,WTO-AGP,Goods,CA,85,0,2018,CRCC,Yes,Unknown,No,Yes,Yes,ADP Software
14187,20695.5,CETA,Services,CA,0,0,2018,CRA,Yes,Yes,No,No,Yes,Harassment (Investigative Services)
14196,22508.18,NAFTA,Goods,CA,0,0,2018,DND,Yes,Yes,No,Yes,Yes,Bolts
14203,22845.53,CFTA,Services,CA,0,0,2018,CSC,Unknown,Yes,No,Unknown,Yes,Services of Individuals - Except Consultants
14261,36499.0,CFTA,Services,CA,0,0,2017,VAC,Unknown,Yes,No,Unknown,Yes,"Human Resources Support Services (HRSS): Organization and Classification, Staffing and Compensation"
14274,16233.37,WTO-AGP,Goods,CA,0,0,2018,CSC,Yes,Yes,No,Yes,Yes,"Hardware, Commercial"
14303,13100.09,WTO-AGP,Services,CA,0,0,2019,CSC,Yes,Yes,No,No,Yes,Office Furniture - Installation
14308,18647.57,NAFTA,Services,CA,0,0,2017,CAS,Yes,Yes,No,No,Yes,Commercial Security Guard and Related Services
14335,18011.09,NAFTA,Goods,CA,0,0,2018,DND,Yes,Yes,No,Yes,Yes,Miscellaneous Chemical Specialities
14345,58731.75,WTO-AGP,Services,CA,0,0,2018,ATSSC,Yes,Yes,No,Yes,Yes,Informatics Professional Services
14349,10543.36,WTO-AGP,Goods,CA,71,0,2019,CRA,Yes,Unknown,No,Yes,Yes,ADP Software
14354,158482.5,CETA,Services,CA,0,0,2018,CRA,Yes,Yes,No,Yes,Yes,Informatics Professional Services
14397,160072.97,WTO-AGP,Goods,CA,0,0,2018,DND,Yes,Yes,No,Yes,Yes,ADP Support Equipment
14402,74600.5,WTO-AGP,Services,CA,0,0,2018,VAC,Yes,Yes,No,Yes,Yes,Internal and External Audits (Supply Arrangement PASS)
